var1(t-1),var2(t-1),var1(t+29),var2(t+29)
4173570000.0,2063.590088,4901760000.0,1906.900024
4385250000.0,2047.619995,4401380000.0,1877.079956
3715150000.0,2052.22998,4357940000.0,1903.630005
4301060000.0,2012.369995,4754040000.0,1882.949951
4612440000.0,2021.939941,4693010000.0,1893.359985
4353540000.0,2043.410034,5497570000.0,1940.23999
4635450000.0,2073.070068,4322530000.0,1939.380005
4327390000.0,2041.890015,4463190000.0,1903.030029
6683070000.0,2005.550049,5172950000.0,1912.530029
3760280000.0,2021.150024,5193320000.0,1915.449951
3520860000.0,2038.969971,4929940000.0,1880.050049
3484090000.0,2064.290039,5636460000.0,1853.439941
1411860000.0,2060.98999,5183220000.0,1852.209961
2492510000.0,2056.5,4471170000.0,1851.859985
2542000000.0,2078.360107,5500800000.0,1829.079956
2367430000.0,2063.360107,4696920000.0,1864.780029
2655330000.0,2043.939941,4570670000.0,1895.579956
4304880000.0,2012.660034,5011540000.0,1926.819946
3706620000.0,2016.709961,4436490000.0,1917.829956
4336660000.0,1990.26001,4142850000.0,1917.780029
5076590000.0,1943.089966,4054710000.0,1945.5
4664940000.0,1922.030029,3890650000.0,1921.27002
4607290000.0,1923.670044,4317250000.0,1929.800049
4887260000.0,1938.680054,4118210000.0,1951.699951
5087030000.0,1890.280029,4348510000.0,1948.050049
5241110000.0,1921.839966,4588180000.0,1932.22998
5468460000.0,1880.329956,4819750000.0,1978.349976
4928350000.0,1881.329956,4666610000.0,1986.449951
6416070000.0,1859.329956,5081700000.0,1993.400024
5078810000.0,1868.98999,6049930000.0,1999.98999
4901760000.0,1906.900024,4968180000.0,2001.76001
4401380000.0,1877.079956,4641650000.0,1979.26001
4357940000.0,1903.630005,4038120000.0,1989.26001
4754040000.0,1882.949951,4376790000.0,1989.569946
4693010000.0,1893.359985,4078620000.0,2022.189941
5497570000.0,1940.23999,3487850000.0,2019.640015
4322530000.0,1939.380005,3560280000.0,2015.930054
4463190000.0,1903.030029,4057020000.0,2027.219971
5172950000.0,1912.530029,4530480000.0,2040.589966
5193320000.0,1915.449951,6503140000.0,2049.580078
4929940000.0,1880.050049,3376600000.0,2051.600098
5636460000.0,1853.439941,3418460000.0,2049.800049
5183220000.0,1852.209961,3639510000.0,2036.709961
4471170000.0,1851.859985,3407720000.0,2035.939941
5500800000.0,1829.079956,2809090000.0,2037.050049
4696920000.0,1864.780029,3822330000.0,2055.01001
4570670000.0,1895.579956,3590310000.0,2063.949951
5011540000.0,1926.819946,3715280000.0,2059.73999
4436490000.0,1917.829956,3749990000.0,2072.780029
4142850000.0,1917.780029,3485710000.0,2066.129883
4054710000.0,1945.5,4154920000.0,2045.170044
3890650000.0,1921.27002,3750800000.0,2066.659912
4317250000.0,1929.800049,3801250000.0,2041.910034
4118210000.0,1951.699951,3359530000.0,2047.599976
4348510000.0,1948.050049,3567840000.0,2041.98999
4588180000.0,1932.22998,4239740000.0,2061.719971
4819750000.0,1978.349976,4191830000.0,2082.419922
4666610000.0,1986.449951,3765870000.0,2082.780029
5081700000.0,1993.400024,3701450000.0,2080.72998
6049930000.0,1999.98999,3316880000.0,2094.340088
4968180000.0,2001.76001,3896830000.0,2100.800049
4641650000.0,1979.26001,4184880000.0,2102.399902
4038120000.0,1989.26001,4175290000.0,2091.47998
4376790000.0,1989.569946,3790580000.0,2091.580078
4078620000.0,2022.189941,3319740000.0,2087.790039
3487850000.0,2019.640015,3557190000.0,2091.699951
3560280000.0,2015.930054,4100110000.0,2095.149902
4057020000.0,2027.219971,4309840000.0,2075.810059
4530480000.0,2040.589966,4704720000.0,2065.300049
6503140000.0,2049.580078,3841110000.0,2081.429932
3376600000.0,2051.600098,4173390000.0,2063.370117
3418460000.0,2049.800049,4058560000.0,2051.120117
