b'ticker,dimension,datekey,revenue\n'
b'CSCO,ARQ,2012-05-23,11588000000\n'
b'CSCO,ARQ,2012-09-12,11690000000\n'
b'CSCO,ARQ,2012-11-20,11876000000\n'
b'CSCO,ARQ,2013-02-19,12098000000\n'
b'CSCO,ARQ,2013-05-21,12216000000\n'
b'CSCO,ARQ,2013-09-10,12417000000\n'
b'CSCO,ARQ,2013-11-22,12085000000\n'
b'CSCO,ARQ,2014-02-20,11155000000\n'
b'CSCO,ARQ,2014-05-22,11545000000\n'
b'CSCO,ARQ,2014-09-09,12357000000\n'
b'CSCO,ARQ,2014-11-20,12245000000\n'
b'CSCO,ARQ,2015-02-18,11936000000\n'
b'CSCO,ARQ,2015-05-20,12137000000\n'
b'CSCO,ARQ,2015-09-08,12843000000\n'
b'CSCO,ARQ,2015-11-19,12682000000\n'
b'CSCO,ARQ,2016-02-18,11927000000\n'
b'CSCO,ARQ,2016-05-24,12000000000\n'
b'CSCO,ARQ,2016-09-08,12638000000\n'
b'CSCO,ARQ,2016-11-22,12352000000\n'
b'CSCO,ARQ,2017-02-21,11580000000\n'
b'CSCO,ARQ,2017-05-23,11940000000\n'
b'CSCO,ART,2001-09-24,22293000000\n'
b'CSCO,ART,2001-12-10,20222000000\n'
b'CSCO,ART,2002-03-11,18290000000\n'
b'CSCO,ART,2002-05-28,18384000000\n'
b'CSCO,ART,2002-09-18,18915000000\n'
b'CSCO,ART,2002-11-21,19312000000\n'
b'CSCO,ART,2003-02-24,19209000000\n'
b'CSCO,ART,2003-05-19,19005000000\n'
b'CSCO,ART,2003-09-10,18878000000\n'
b'CSCO,ART,2003-11-17,19134000000\n'
b'CSCO,ART,2004-02-17,19819000000\n'
b'CSCO,ART,2004-05-27,20821000000\n'
b'CSCO,ART,2004-09-20,22045000000\n'
b'CSCO,ART,2004-11-22,22915000000\n'
b'CSCO,ART,2005-02-22,23579000000\n'
b'CSCO,ART,2005-05-27,24146000000\n'
b'CSCO,ART,2005-09-19,24801000000\n'
b'CSCO,ART,2005-11-23,25380000000\n'
b'CSCO,ART,2006-02-21,25946000000\n'
b'CSCO,ART,2006-05-25,27081000000\n'
b'CSCO,ART,2006-09-18,28484000000\n'
b'CSCO,ART,2006-11-21,30118000000\n'
b'CSCO,ART,2007-02-20,31929000000\n'
b'CSCO,ART,2007-05-24,33473000000\n'
b'CSCO,ART,2007-09-18,34922000000\n'
b'CSCO,ART,2007-11-20,36292000000\n'
b'CSCO,ART,2008-02-19,37684000000\n'
b'CSCO,ART,2008-05-22,38609000000\n'
b'CSCO,ART,2008-09-15,39540000000\n'
b'CSCO,ART,2008-11-18,40317000000\n'
b'CSCO,ART,2009-02-17,39575000000\n'
b'CSCO,ART,2009-05-20,37946000000\n'
b'CSCO,ART,2009-09-11,36117000000\n'
b'CSCO,ART,2009-11-18,34807000000\n'
b'CSCO,ART,2010-02-17,35533000000\n'
b'CSCO,ART,2010-05-26,37739000000\n'
b'CSCO,ART,2010-09-21,40040000000\n'
b'CSCO,ART,2010-11-23,41769000000\n'
b'CSCO,ART,2011-02-23,42361000000\n'
b'CSCO,ART,2011-05-25,42859000000\n'
b'CSCO,ART,2011-09-14,43218000000\n'
